pair_index,pair,fixed,moving,group,landmarks,method,initialization_seconds,solver_seconds,total_seconds,tuning_seconds,inner_iterations,failed_subproblems,accepted_steps,subproblems,min_jacobian,nonpositive_jacobian_fraction,rho_initial,alpha_initial,rho_final,alpha_final,h_minus,h_plus,g_minus,g_plus,prepared_size,reuse_policy,initial_tre,median_tre,mean_tre,p95_tre,median_rtre,landmark_improvement
0.0,A01,A01_1,A01_2,A,10.0,manual_external,0.0085339080542325,10.61734688282013,10.625880790874362,3.779120743274689e-05,394.0,0.0,21.0,21.0,0.0507656305908719,0.0,0.1,1.0,0.1,1.0,0.0,0.3036482632160187,0.05,1.65,256.0,fixed,5.612193218490781,5.155592673370002,5.6807153081419175,8.870573076704723,0.0142404474233422,0.0813586644909716
0.0,A01,A01_1,A01_2,A,10.0,predict_pair_full,0.0085339080542325,8.857526142150164,8.866060050204396,0.0636852048337459,260.0,0.0,21.0,21.0,0.0507696325193164,0.0,0.1147146862168005,1.614790788132549,0.1147146862168005,1.614790788132549,0.0,0.3036482632160187,0.05,1.65,256.0,pair_full,5.612193218490781,5.155565216074937,5.680710407025559,8.870612989574852,0.0142403715825627,0.0813635569267798
0.0,A01,A01_1,A01_2,A,10.0,fixed_1_18,0.0085339080542325,41.746933944523335,41.75546785257757,4.042685031890869e-05,1476.0,0.0,21.0,21.0,0.0508069512099289,0.0,1.0,1.8,1.0,1.8,0.0,0.3036482632160187,0.05,1.65,256.0,fixed,5.612193218490781,5.155693414590669,5.680739409261898,8.870444218387501,0.0142407256842808,0.0813407140718137
0.0,A01,A01_1,A01_2,A,10.0,residual_balance,0.0085339080542325,50.51210190542042,50.520635813474655,3.703124821186066e-05,1416.0,0.0,21.0,21.0,0.0508285177550678,0.0,1.0,1.0,1.0,1.0,0.0,0.3036482632160187,0.05,1.65,256.0,fixed,5.612193218490781,5.155834324465571,5.680769006910252,8.87027853674819,0.0142411148964998,0.0813156062629025
0.0,A01,A01_1,A01_2,A,10.0,adaptive_bb_proxy,0.0085339080542325,19.36919092014432,19.377724828198552,3.267824649810791e-05,577.0,0.0,21.0,21.0,0.0507671809420969,0.0,1.0,1.0,1.0,1.0,0.0,0.3036482632160187,0.05,1.65,256.0,fixed,5.612193218490781,5.15554551561101,5.6807050815403874,8.870629335302036,0.0142403171672048,0.0813670672235853
1.0,A02,A02_1,A02_2,A,10.0,manual_external,0.0046337880194187,15.288357581943274,15.292991369962692,2.7291476726531982e-05,299.0,0.0,13.0,14.0,0.0545595417884511,0.0,0.1,1.0,0.1,1.0,0.0,0.5,0.05,1.65,256.0,fixed,4.707571940010588,4.76407607383145,4.731294811481968,7.081762068676812,0.0131590253824015,-0.0120028189775729
1.0,A02,A02_1,A02_2,A,10.0,predict_pair_full,0.0046337880194187,10.0148955732584,10.01952936127782,0.1019371710717678,188.0,0.0,13.0,14.0,0.0545703837369484,0.0,0.140152977645347,1.6882550553315323,0.140152977645347,1.6882550553315323,0.0,0.5,0.05,1.65,256.0,pair_full,4.707571940010588,4.764067988978442,4.731295032070509,7.081767530579312,0.0131590030509391,-0.0120011015629246
1.0,A02,A02_1,A02_2,A,10.0,fixed_1_18,0.0046337880194187,43.8837245516479,43.88835833966732,3.0269846320152283e-05,1048.0,0.0,13.0,14.0,0.0545914680387496,0.0,1.0,1.8,1.0,1.8,0.0,0.5,0.05,1.65,256.0,fixed,4.707571940010588,4.76396599479226,4.731278649584685,7.081774274610076,0.0131587213291395,-0.0119794355772571
1.0,A02,A02_1,A02_2,A,10.0,residual_balance,0.0046337880194187,38.04169752635062,38.04633131437004,2.7408823370933533e-05,1022.0,0.0,13.0,14.0,0.0546316828550162,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.05,1.65,256.0,fixed,4.707571940010588,4.7638686778988975,4.731268461638765,7.081787348134159,0.0131584525266582,-0.0119587631595854
1.0,A02,A02_1,A02_2,A,10.0,adaptive_bb_proxy,0.0046337880194187,14.232530888170004,14.237164676189424,2.164207398891449e-05,460.0,0.0,13.0,14.0,0.054554975756331,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.05,1.65,256.0,fixed,4.707571940010588,4.764096904042511,4.731299481102121,7.081763683159824,0.0131590829182745,-0.0120072438087444
2.0,A03,A03_1,A03_2,A,10.0,manual_external,0.0042989253997802,8.239664629101753,8.243963554501534,2.5959685444831848e-05,355.0,0.0,16.0,17.0,0.0621099914101228,0.0,0.1,1.0,0.1,1.0,0.0,0.5,0.05,1.65,256.0,fixed,1.9024326213095144,1.7930843230625024,1.7450043547715597,3.163620324100932,0.0049527425159249,0.0574781450986087
2.0,A03,A03_1,A03_2,A,10.0,predict_pair_full,0.0042989253997802,7.69335169903934,7.69765062443912,0.0703421477228403,213.0,0.0,16.0,17.0,0.0621204907044753,0.0,0.140152977645347,1.6882550553315323,0.140152977645347,1.6882550553315323,0.0,0.5,0.05,1.65,256.0,pair_full,1.9024326213095144,1.7931000042600094,1.7450118333775548,3.163617229509548,0.0049527858295229,0.0574699023901251
2.0,A03,A03_1,A03_2,A,10.0,fixed_1_18,0.0042989253997802,39.44719939492643,39.45149832032621,4.83095645904541e-05,1156.0,0.0,16.0,17.0,0.0621406816784849,0.0,1.0,1.8,1.0,1.8,0.0,0.5,0.05,1.65,256.0,fixed,1.9024326213095144,1.7931706979909916,1.7450419472612864,3.163590618680647,0.0049529810952126,0.0574327427397962
2.0,A03,A03_1,A03_2,A,10.0,residual_balance,0.0042989253997802,38.118452079594135,38.12275100499392,3.015249967575073e-05,1138.0,0.0,16.0,17.0,0.062186490932352,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.05,1.65,256.0,fixed,1.9024326213095144,1.7932502858385655,1.7450741993091092,3.163565218869473,0.0049532009276607,0.0573909079611646
2.0,A03,A03_1,A03_2,A,10.0,adaptive_bb_proxy,0.0042989253997802,24.935859706252813,24.9401586316526,2.6473775506019592e-05,549.0,0.0,16.0,17.0,0.062103707928032,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.05,1.65,256.0,fixed,1.9024326213095144,1.7930775843393572,1.7450066207352244,3.1636385991928333,0.004952723902656,0.0574816872598762
3.0,A04,A04_1,A04_2,A,10.0,manual_external,0.0057281795889139,31.319198915734887,31.3249270953238,0.0001106932759284,459.0,0.0,23.0,23.0,0.0532910416068337,0.0,0.1,1.0,0.1,1.0,0.0,0.5,0.05,1.65,256.0,fixed,3.622370434569122,3.321606196128405,3.849563408928264,7.606243279463548,0.0091747276004439,0.0830296745941197
3.0,A04,A04_1,A04_2,A,10.0,predict_pair_full,0.0057281795889139,17.87648566812277,17.882213847711682,0.1570491567254066,296.0,0.0,23.0,23.0,0.0532978114770762,0.0,0.140152977645347,1.6882550553315323,0.140152977645347,1.6882550553315323,0.0,0.5,0.05,1.65,256.0,pair_full,3.622370434569122,3.3216313834326976,3.84958259525985,7.606277314029692,0.0091747971712004,0.0830227213283653
3.0,A04,A04_1,A04_2,A,10.0,fixed_1_18,0.0057281795889139,56.68130295164883,56.68703113123775,4.004128277301788e-05,1622.0,0.0,23.0,23.0,0.053340413394038,0.0,1.0,1.8,1.0,1.8,0.0,0.5,0.05,1.65,256.0,fixed,3.622370434569122,3.3220398685912063,3.8498362333015046,7.606652033941994,0.0091759254627066,0.0829099539662505
3.0,A04,A04_1,A04_2,A,10.0,residual_balance,0.0057281795889139,53.78208097070456,53.78780915029347,4.229508340358734e-05,1519.0,0.0,23.0,23.0,0.0534053872528647,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.05,1.65,256.0,fixed,3.622370434569122,3.322508056103633,3.8501150037079066,7.607015384599956,0.0091772186602258,0.0827807050335742
3.0,A04,A04_1,A04_2,A,10.0,adaptive_bb_proxy,0.0057281795889139,30.339060068130493,30.344788247719407,6.166286766529083e-05,735.0,0.0,23.0,23.0,0.0532335485959615,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.05,1.65,256.0,fixed,3.622370434569122,3.3214884379763294,3.84949538647624,7.606155633542667,0.0091744023364288,0.0830621831832335
4.0,A05,A05_1,A05_2,A,10.0,manual_external,0.0064673330634832,9.358123859390616,9.3645911924541,2.182088792324066e-05,277.0,0.0,12.0,12.0,0.0517474802566396,0.0,0.1,1.0,0.1,1.0,0.0,0.5,0.05,1.65,256.0,fixed,5.30752520580098,5.847962716951777,5.682171806747909,9.006569543477701,0.0161528675518855,-0.1018247658172233
4.0,A05,A05_1,A05_2,A,10.0,predict_pair_full,0.0064673330634832,6.294887393712997,6.301354726776481,0.1058920379728078,164.0,0.0,12.0,12.0,0.0517449102806931,0.0,0.140152977645347,1.6882550553315323,0.140152977645347,1.6882550553315323,0.0,0.5,0.05,1.65,256.0,pair_full,5.30752520580098,5.847974318132944,5.682169403340185,9.006565894640673,0.0161528995959241,-0.1018269516158238
4.0,A05,A05_1,A05_2,A,10.0,fixed_1_18,0.0064673330634832,30.22212079539895,30.22858812846244,2.351030707359314e-05,858.0,0.0,12.0,12.0,0.0516764235341693,0.0,1.0,1.8,1.0,1.8,0.0,0.5,0.05,1.65,256.0,fixed,5.30752520580098,5.848186819168296,5.682131654660335,9.006526339627666,0.016153486552655,-0.1018669893032793
4.0,A05,A05_1,A05_2,A,10.0,residual_balance,0.0064673330634832,42.27406641840935,42.28053375147283,2.862140536308289e-05,854.0,0.0,12.0,12.0,0.0516085630497912,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.05,1.65,256.0,fixed,5.30752520580098,5.848387535584274,5.682101181237318,9.006510404291877,0.016154040958666,-0.1019048066302246
4.0,A05,A05_1,A05_2,A,10.0,adaptive_bb_proxy,0.0064673330634832,18.47971172817052,18.486179061234,2.300925552845001e-05,351.0,0.0,12.0,12.0,0.0517530270603011,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.05,1.65,256.0,fixed,5.30752520580098,5.847946262486923,5.682175858281772,9.006581278700159,0.016152822102418,-0.1018216656030528
5.0,A06,A06_1,A06_2,A,10.0,manual_external,0.0064275152981281,32.32636110112071,32.33278861641884,4.7890469431877136e-05,441.0,0.0,19.0,20.0,0.0518669517242698,0.0,0.1,1.0,0.1,1.0,0.0,0.5,0.05,1.65,256.0,fixed,1.5351514584947024,1.8013435975857863,1.7984084601114585,2.7070949935218347,0.0049755557542964,-0.1733979651434043
5.0,A06,A06_1,A06_2,A,10.0,predict_pair_full,0.0064275152981281,21.60288481414318,21.60931232944131,0.1399560179561376,275.0,0.0,19.0,20.0,0.0518530953666586,0.0,0.140152977645347,1.6882550553315323,0.140152977645347,1.6882550553315323,0.0,0.5,0.05,1.65,256.0,pair_full,1.5351514584947024,1.8013441771793128,1.7984035414141009,2.707083702776008,0.0049755573552124,-0.1733983426915106
5.0,A06,A06_1,A06_2,A,10.0,fixed_1_18,0.0064275152981281,79.66387058794498,79.67029810324311,3.8485974073410034e-05,1528.0,0.0,19.0,20.0,0.0517776331120499,0.0,1.0,1.8,1.0,1.8,0.0,0.5,0.05,1.65,256.0,fixed,1.5351514584947024,1.8013327805193131,1.7983493319378554,2.7069804423827475,0.0049755258760891,-0.1733909188898157
5.0,A06,A06_1,A06_2,A,10.0,residual_balance,0.0064275152981281,80.68826509267092,80.69469260796905,4.529953002929688e-05,1517.0,0.0,19.0,20.0,0.0516954563378757,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.05,1.65,256.0,fixed,1.5351514584947024,1.8013287891412018,1.7982906408935222,2.7068514352361777,0.0049755148513605,-0.1733883189000302
5.0,A06,A06_1,A06_2,A,10.0,adaptive_bb_proxy,0.0064275152981281,36.86075530201197,36.867182817310095,4.589930176734924e-05,595.0,0.0,19.0,20.0,0.0518776676457428,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.05,1.65,256.0,fixed,1.5351514584947024,1.8013461869717533,1.7984187976189911,2.707116774721668,0.0049755629065322,-0.1733996518733698
6.0,A07,A07_1,A07_2,A,10.0,manual_external,0.0063100568950176,18.64476724527776,18.65107730217278,4.176981747150421e-05,385.0,0.0,21.0,21.0,0.052803340388472,0.0,0.1,1.0,0.1,1.0,0.0,0.2211690694093704,0.05,1.65,256.0,fixed,2.0152594851634795,1.4858030562194582,1.5949603283499283,2.394502602345688,0.0041039899084393,0.2627237002692032
6.0,A07,A07_1,A07_2,A,10.0,predict_pair_full,0.0063100568950176,9.176864694803951,9.18317475169897,0.1299192812293768,239.0,0.0,21.0,21.0,0.0528039490362829,0.0,0.1000953809413789,1.5674874669878989,0.1000953809413789,1.5674874669878989,0.0,0.2211690694093704,0.05,1.65,256.0,pair_full,2.0152594851634795,1.485798324903683,1.5948915769837395,2.394413914496893,0.0041039768399023,0.2627260480143992
6.0,A07,A07_1,A07_2,A,10.0,fixed_1_18,0.0063100568950176,44.72054163180292,44.726851688697934,4.016607999801636e-05,1433.0,0.0,21.0,21.0,0.0528036012012299,0.0,1.0,1.8,1.0,1.8,0.0,0.2211690694093704,0.05,1.65,256.0,fixed,2.0152594851634795,1.485816661388182,1.5951692482203463,2.394783665315111,0.0041040274877638,0.2627169491938086
6.0,A07,A07_1,A07_2,A,10.0,residual_balance,0.0063100568950176,46.1490536108613,46.15536366775632,4.052184522151947e-05,1354.0,0.0,21.0,21.0,0.0527982071125188,0.0,1.0,1.0,1.0,1.0,0.0,0.2211690694093704,0.05,1.65,256.0,fixed,2.0152594851634795,1.4858461605701363,1.595431600576303,2.395126392513499,0.0041041089685122,0.2627023112862976
6.0,A07,A07_1,A07_2,A,10.0,adaptive_bb_proxy,0.0063100568950176,22.089696038514376,22.0960060954094,3.936886787414551e-05,623.0,0.0,21.0,21.0,0.0528052122787899,0.0,1.0,1.0,1.0,1.0,0.0,0.2211690694093704,0.05,1.65,256.0,fixed,2.0152594851634795,1.4857890627876122,1.5948622162185015,2.394376739099884,0.0041039512566793,0.2627306440062003
7.0,A08,A08_1,A08_2,A,10.0,manual_external,0.006116148084402,6.5183329526335,6.524449100717902,2.4303793907165527e-05,260.0,0.0,13.0,13.0,0.0517223727713764,0.0,0.1,1.0,0.1,1.0,0.0,0.3320162892341614,0.05,1.65,256.0,fixed,3.5267791939485544,3.234892232473104,3.494194774389407,6.400931069782828,0.0089352118515211,0.0827630382920496
7.0,A08,A08_1,A08_2,A,10.0,predict_pair_full,0.006116148084402,5.483495846390724,5.489611994475126,0.0819547157734632,164.0,0.0,13.0,13.0,0.0517254147600607,0.0,0.119069705126503,1.628094907795735,0.119069705126503,1.628094907795735,0.0,0.3320162892341614,0.05,1.65,256.0,pair_full,3.5267791939485544,3.234876826290127,3.4942429905478045,6.4009443026106,0.0089351692975506,0.0827674066355521
7.0,A08,A08_1,A08_2,A,10.0,fixed_1_18,0.006116148084402,20.908647587522864,20.914763735607263,2.3646280169487e-05,1016.0,0.0,13.0,13.0,0.0517110620498275,0.0,1.0,1.8,1.0,1.8,0.0,0.3320162892341614,0.05,1.65,256.0,fixed,3.5267791939485544,3.2349901909841057,3.49403822985938,6.400858729516317,0.0089354824262375,0.0827352626628947
7.0,A08,A08_1,A08_2,A,10.0,residual_balance,0.006116148084402,15.028220569714904,15.034336717799306,2.0852312445640564e-05,948.0,0.0,13.0,13.0,0.0516975345437285,0.0,1.0,1.0,1.0,1.0,0.0,0.3320162892341614,0.05,1.65,256.0,fixed,3.5267791939485544,3.235085596350218,3.49380510182447,6.400785058424671,0.0089357459488209,0.0827082109647686
7.0,A08,A08_1,A08_2,A,10.0,adaptive_bb_proxy,0.006116148084402,6.682207679376006,6.688323827460408,1.8244609236717224e-05,424.0,0.0,13.0,13.0,0.0517298397430013,0.0,1.0,1.0,1.0,1.0,0.0,0.3320162892341614,0.05,1.65,256.0,fixed,3.5267791939485544,3.234839339377024,3.4942956940408485,6.400965132031712,0.0089350657536035,0.0827780358558808
8.0,A09,A09_1,A09_2,A,10.0,manual_external,0.0041886288672685,6.876351624727249,6.880540253594518,2.356432378292084e-05,297.0,0.0,15.0,15.0,0.0506438275297624,0.0,0.1,1.0,0.1,1.0,0.0,0.3320162892341614,0.05,1.65,256.0,fixed,4.505310052499644,3.431712431198151,3.603440286721259,7.033875688245401,0.0094788559811811,0.2382960570508571
8.0,A09,A09_1,A09_2,A,10.0,predict_pair_full,0.0041886288672685,7.458686893805861,7.46287552267313,0.0696014836430549,188.0,0.0,15.0,15.0,0.0506423995987312,0.0,0.119069705126503,1.628094907795735,0.119069705126503,1.628094907795735,0.0,0.3320162892341614,0.05,1.65,256.0,pair_full,4.505310052499644,3.431680733320977,3.603427822397096,7.033857331575825,0.0094787684273378,0.2383030927213891
8.0,A09,A09_1,A09_2,A,10.0,fixed_1_18,0.0041886288672685,40.24255376309157,40.24674239195883,3.3117830753326416e-05,1151.0,0.0,15.0,15.0,0.0506413383229505,0.0,1.0,1.8,1.0,1.8,0.0,0.3320162892341614,0.05,1.65,256.0,fixed,4.505310052499644,3.431871292443497,3.6034884004000993,7.033964243595895,0.0094792947775243,0.2382607961601537
8.0,A09,A09_1,A09_2,A,10.0,residual_balance,0.0041886288672685,43.651875387877226,43.656064016744494,2.742931246757508e-05,1067.0,0.0,15.0,15.0,0.0506437219631603,0.0,1.0,1.0,1.0,1.0,0.0,0.3320162892341614,0.05,1.65,256.0,fixed,4.505310052499644,3.432058458869776,3.6035609291335056,7.034067289297411,0.0094798117566229,0.2382192526428158
8.0,A09,A09_1,A09_2,A,10.0,adaptive_bb_proxy,0.0041886288672685,24.415258260443807,24.419446889311075,2.837739884853363e-05,491.0,0.0,15.0,15.0,0.0506494257288866,0.0,1.0,1.0,1.0,1.0,0.0,0.3320162892341614,0.05,1.65,256.0,fixed,4.505310052499644,3.431631712525508,3.603411743124541,7.0338260876082686,0.0094786330252405,0.2383139733921747
9.0,A10,A10_1,A10_2,A,10.0,manual_external,0.0044852029532194,25.739717287942767,25.744202490895987,4.45246696472168e-05,455.0,0.0,24.0,24.0,0.1296909891058462,0.0,0.1,1.0,0.1,1.0,0.0,0.1538958102464676,0.05,1.65,256.0,fixed,3.94103194389726,3.0451787523329625,3.149899132550871,5.173458600548729,0.0084111974441399,0.2273143695148958
